,surface,round,tournament_type,rank_diff,wins2meses_p1,wins2meses_p2,ratio_superficie_p1,ratio_superficie_p2,h2h,ratio_ronda_p1,ratio_ronda_p2,experiencia_p1,experiencia_p2,is_new_p1,is_new_p2,elo_p1,elo_p2,elo_diff,elo_global_p1,elo_global_p2,elo_global_diff
22573,Grass,2nd Round,WTA500,39.0,0.5714285714285714,0.6666666666666666,0.5,0.4722222222222222,0.5,0.5714285714285714,0.5970149253731343,31,442,0,0,1501.8657667338134,1528.2487584344804,-26.38299170066693,1641.422254520621,1788.8691303068777,-147.44687578625667
22574,Grass,2nd Round,WTA500,-12.0,0.7857142857142857,0.625,0.5,0.5714285714285714,0.5,0.5454545454545454,0.6323529411764706,87,455,0,0,1514.523930608657,1583.553033986874,-69.02910337821686,1793.0281858070657,1739.168194133268,53.8599916737976
22575,Grass,2nd Round,WTA500,62.0,0.0,0.85,0.4,0.6785714285714286,0.5,0.3125,0.6966292134831461,57,366,0,0,1488.7859319513211,1636.197093739167,-147.4111617878459,1529.0255197819915,1959.152104398676,-430.12658461668434
22576,Grass,2nd Round,WTA500,93.0,0.6,0.25,0.5531914893617021,0.4333333333333333,0.3333333333333333,0.2967032967032967,0.3736263736263736,326,317,0,0,1573.3520439954652,1504.5376727335922,68.81437126187302,1578.4356614901562,1620.907153884015,-42.47149239385885
22577,Grass,2nd Round,WTA500,42.0,0.6666666666666666,0.7272727272727273,0.3043478260869565,0.6,0.0,0.4428571428571428,0.7816901408450704,239,513,0,0,1425.695149990018,1588.5253669507256,-162.83021696070773,1635.4803908333588,1840.1435575917324,-204.6631667583736
22578,Grass,2nd Round,WTA500,-43.0,0.5,0.5384615384615384,0.6984126984126984,0.3529411764705882,1.0,0.7318840579710145,0.3478260869565217,491,100,0,0,1754.2535845487917,1453.1920555335932,301.0615290151984,1824.922990248283,1599.487749106809,225.4352411414743
22579,Grass,2nd Round,WTA500,74.0,0.6666666666666666,0.3333333333333333,0.6,0.6,0.5,0.3333333333333333,0.5765765765765766,38,408,0,0,1512.3582224058534,1665.8059360719622,-153.4477136661087,1571.582501170673,1688.697059661191,-117.11455849051822
22580,Grass,2nd Round,WTA500,-18.0,0.6842105263157895,0.4,0.5833333333333334,0.4285714285714285,1.0,0.5507246376811594,0.3541666666666667,255,191,0,0,1602.9417568024826,1478.5444097738853,124.39734702859732,1819.303915000157,1633.1206085127887,186.18330648736836
22581,Grass,2nd Round,WTA500,-18.0,0.6923076923076923,0.5,0.5294117647058824,0.5666666666666667,0.0,0.5373134328358209,0.5299145299145299,251,390,0,0,1539.0417711878777,1556.303114822354,-17.26134363447636,1807.5114030717923,1705.02449213941,102.48691093238244
22582,Grass,2nd Round,WTA500,8.0,0.5833333333333334,0.7272727272727273,0.6470588235294118,0.6153846153846154,0.3333333333333333,0.5476190476190477,0.640625,129,217,0,0,1582.0274803880532,1597.0512075764696,-15.023727188416387,1736.961866019216,1854.332036387244,-117.37017036802833
